Instance,SA_vs_Constructive_%,LS_vs_Constructive_%,Linear_vs_Greedy_%,Constructive_Worse_Obj,SA_Final_Obj,LS_Final_Obj,Greedy_Obj,Linear_Obj
Inst1.xlsx,8.616954716645667,6.487210506515349,0.0824752480875025,82737.43679687496,89866.884259375,88104.78848958333,92232.90401692702,92308.97333333328
Inst2.xlsx,9.257642064634902,7.115335357485197,0.08618710679344198,7572851.471666662,8273918.954999998,8111685.249999998,8368734.336666666,8375947.106666668
Inst3.xlsx,9.77321350693908,7.620797555822627,0.07909283964672045,99755.98499999988,109505.3504,107358.18666666666,112117.18666666656,112205.86333333324
Inst4.xlsx,10.190584124498505,8.029984435782842,0.09773014850503142,9341302.564531254,10293235.860693747,10091407.706562497,10417981.671041658,10428163.179999994
Inst5.xlsx,9.67395676559083,7.523487025089041,0.0571106482844522,132938.0120572917,145798.37786875002,142939.58614583334,149495.2989322919,149580.6766666669
Inst6.xlsx,11.095029423356563,8.916695513094663,0.07539332599519405,12222166.030000009,13578218.9472,13311979.36,13718513.14,13728855.983333334
Inst7.xlsx,10.205546132269653,8.044653070852602,0.11353649991508533,68245.13371496164,75209.92231927117,73735.21796006977,77349.57333507012,77437.39333333401
Inst8.xlsx,9.243283074542601,7.101257916218227,-0.3496808903264116,5969514.712076858,6521293.855090588,6393425.348128027,6675545.634074088,6652202.526666712
Inst9.xlsx,10.04011340250769,7.882464120105584,0.09564248417306677,72491.67372202745,79769.91997109487,78205.80389323027,81614.66837038919,81692.72666666824
Inst10.xlsx,10.157953852694693,7.99799397323009,0.022920785041134352,6328548.1094703805,6971399.105975964,6834705.005858788,7078362.61705352,7079985.033333407
Inst11.xlsx,9.688626855222623,7.537869465904536,0.07288201353578296,109155.11011469895,119730.7414271195,117383.07983050932,122856.23323679704,122945.77333333423
Inst12.xlsx,9.881334482617076,7.726798512369672,-0.06133780721164643,9574866.682399152,10520991.285551673,10314697.338776149,10672255.317391796,10665709.19000008
